species	x	y
p_rigida	-48.61	-23.1
p_rigida	-47.885278	-15.944722
p_rigida	-45.44222222	-18.78777778
p_rigida	-53.2153	-17.3147
p_rigida	-44.4564	-18.3808
p_rigida	-43.969944	-19.454361
p_rigida	-47.931944	-19.748333
p_rigida	-43.723333	-19.018611
p_rigida	-43.718333	-19.023333
p_rigida	-45.71139908	-20.17440033
p_rigida	-43.60029984	-18.24939919
p_rigida	-44.04725	-19.85725
p_rigida	-43.71440125	-19.16889954
p_rigida	-50.92810059	-17.79809952
p_rigida	-48.387931	-17.888544
p_rigida	-48.2171	-17.312764
p_rigida	-43.85	-19.433333
p_rigida	-47.416667	-20.016667
p_rigida	-48.65999985	-22.79999924
p_rigida	-48.9592	-15.8525
p_rigida	-55.733333	-15.45
p_rigida	-55.783333	-20.466667
p_rigida	-46.816667	-11.616667
p_rigida	-45.753611	-12.087778
p_rigida	-45.816667	-12.216667
p_rigida	-45.316667	-12.666667
p_rigida	-48.266667	-16.333333
p_rigida	-47.916667	-15.766667
p_rigida	-47.92969894	-15.77970028
p_rigida	-47.876667	-15.951667
p_rigida	-46.2125	-11.351111
p_rigida	-48.716666	-17.783333
p_rigida	-48.23360062	-11.97500038
p_rigida	-46.42110062	-10.54749966
p_rigida	-47.53609848	-10.7439003
p_rigida	-46.794166	-10.892222
p_rigida	-47.4925	-13.956111
p_rigida	-45.531666	-19.332222
p_rigida	-48.80860138	-15.9236002
p_rigida	-50.21500015	-16.12669945
p_rigida	-49.14860153	-13.44079971
p_rigida	-48.28390121	-15.16030025
p_rigida	-45.3567009	-18.60440063
p_rigida	-48.45970154	-14.47389984
p_rigida	-48.625	-17.74169922
p_rigida	-46	-11.45
p_rigida	-46.716666	-8.6333333
p_rigida	-55.74969864	-15.4605999
p_rigida	-47.766666	-15.666666
p_rigida	-47.45830154	-13.79749966
p_rigida	-44.53440094	-14.18389988
p_rigida	-49.2439003	-16.82329941
p_rigida	-47.95029831	-16.25250053
p_rigida	-47.50999832	-14.13249969
p_rigida	-48	-15.866666
p_rigida	-48.228333	-13.022222
p_rigida	-47.936666	-15.663333
p_rigida	-48.078888	-15.640833
p_rigida	-48.743055	-17.779444
p_rigida	-48.05	-15.991111
p_rigida	-47.565	-15.756944
p_rigida	-47.643055	-15.756111
p_rigida	-47.631666	-15.758888
p_rigida	-47.698333	-11.755833
p_rigida	-43.543888	-18.159166
p_rigida	-46.795277	-10.890277
p_rigida	-47.824444	-14.174166
p_rigida	-48.000833	-15.909722
p_rigida	-49.07	-11.73
p_rigida	-47.85	-15.75
p_rigida	-43.58	-19.3
p_rigida	-47.88	-15.63
p_rigida	-47.15	-22.317
p_rigida	-51.75	-12.85
p_rigida	-43.67	-19.42
p_rigida	-45.5739	-12.5622
p_rigida	-47.8	-15.72
p_rigida	-47.7867	-22.255
p_rigida	-48.7446	-22.8163
p_rigida	-47.8458	-15.6792
p_rigida	-47.142	-22.242
p_rigida	-51.78	-17.2
p_rigida	-47.8986	-15.965
p_rigida	-48.45	-14.4961
p_rigida	-43.57	-19.28
p_rigida	-49.27	-24.13
p_rigida	-47	-14.13
p_rigida	-57.205611	-15.641833
p_rigida	-57.213778	-15.655556
p_rigida	-48.489201	-22.891899
p_rigida	-47.166699	-22.258301
p_rigida	-47.5	-22.0331
p_rigida	-49.0075	-22.3347
p_rigida	-47.5526	-18.09208
p_rigida	-48.064899	-22.046101
p_rigida	-48.050999	-22.108
p_rigida	-47.386101	-20.122499
p_rigida	-47.438099	-20.0858
p_rigida	-47.397202	-20.239401
p_rigida	-48.9949	-23.371401
p_rigida	-47.904099	-22.1873
p_rigida	-48.743301	-22.8139
p_rigida	-48.743099	-22.8139
p_rigida	-50.0583	-22.575501
p_rigida	-48.9921	-22.621401
p_rigida	-48.9996	-22.298099
p_rigida	-49.009998	-22.2882
p_rigida	-48.9604	-22.323299
p_rigida	-47.8167	-21.6667
p_rigida	-47.599998	-21.616899
